--------------------------------------------------
Data   Type:		0
Resp.  Stat:		0
Sequence No:		1
Packet Data:
large.txt

CRC result: 1918, 1918

CRC result: b481, b481

CRC result: 16ea, 16ea

CRC result: 1a24, 1a24

CRC result: 3679, 3679

CRC result: f191, f191

CRC result: ae32, ae32

CRC result: 1e6a, 1e6a

CRC result: b639, b639

CRC result: e94c, e94c

CRC result: 9865, 9865

CRC result: 3025, 3025

CRC result: a9a2, a9a2

CRC result: f3c5, f3c5

CRC result: 749a, 749a

CRC result: b6f6, b6f6

CRC result: 2362, 2362

CRC result: d2e1, d2e1

CRC result: 7a96, 7a96

CRC result: 222d, 222d

CRC result: d642, d642

CRC result: cc37, cc37

CRC result: 3c6c, 3c6c

CRC result: b700, b700

CRC result: 1ca6, 1ca6

CRC result: db91, db91

CRC result: 2bee, 2bee

CRC result: c8e, c8e

CRC result: b29a, b29a

CRC result: 28fa, 28fa

CRC result: 8440, 8440

CRC result: d2d9, d2d9

CRC result: 7d3e, 7d3e

CRC result: 87f5, 87f5

CRC result: cc4b, cc4b

CRC result: eb5e, eb5e

CRC result: fe6a, fe6a

CRC result: 2bee, 2bee

CRC result: 90a7, 90a7

CRC result: 1b0d, 1b0d

CRC result: 662b, 662b

CRC result: 5b7e, 5b7e

CRC result: 44d1, 44d1

CRC result: 5d0a, 5d0a

CRC result: 894f, 894f

CRC result: 20b0, 20b0

CRC result: 18fb, 18fb

CRC result: 513, 513

CRC result: c116, c116

CRC result: 7502, 7502

CRC result: ad45, ad45

CRC result: 3def, 3def

CRC result: 6291, 6291

CRC result: 9a83, 9a83

CRC result: db07, db07

CRC result: be38, be38

CRC result: 2442, 2442

CRC result: be7d, be7d

CRC result: 9b17, 9b17

CRC result: 5978, 5978

CRC result: f2a5, f2a5

CRC result: 2516, 2516

CRC result: 6e32, 6e32

CRC result: 4a7f, 4a7f

CRC result: 6dd6, 6dd6

CRC result: 2fea, 2fea

CRC result: 4a5b, 4a5b

CRC result: 3baf, 3baf

CRC result: f2dc, f2dc

CRC result: 8bb6, 8bb6

CRC result: e433, e433

CRC result: 506a, 506a

CRC result: 3c37, 3c37

CRC result: 4518, 4518

CRC result: 8b7, 8b7

CRC result: 4be7, 4be7

CRC result: 1e05, 1e05

CRC result: 3d2a, 3d2a

CRC result: 8e7c, 8e7c

CRC result: a105, a105

CRC result: 9acb, 9acb

CRC result: dde3, dde3

CRC result: 4fdc, 4fdc

CRC result: 750e, 750e

CRC result: c910, c910

CRC result: 86c0, 86c0

CRC result: 7be1, 7be1

CRC result: 70f1, 70f1

CRC result: f00f, f00f

CRC result: a16b, a16b

CRC result: b0aa, b0aa

CRC result: d6ff, d6ff

CRC result: b4d4, b4d4

CRC result: 96c1, 96c1

CRC result: dfa1, dfa1

CRC result: 3009, 3009

CRC result: c596, c596

CRC result: ea96, ea96

CRC result: 86fa, 86fa

CRC result: 1390, 1390

CRC result: 3c8c, 3c8c

CRC result: da0d, da0d

CRC result: d17d, d17d

CRC result: 439, 439

CRC result: 92d7, 92d7

CRC result: 8cac, 8cac

CRC result: a0, a0

CRC result: b0f4, b0f4

CRC result: a55f, a55f

CRC result: a480, a480

CRC result: f593, f593

CRC result: cbc3, cbc3

CRC result: 33d8, 33d8

CRC result: d7d3, d7d3

CRC result: b5d6, b5d6

CRC result: 8a34, 8a34

CRC result: aef, aef

CRC result: b153, b153

CRC result: 3f26, 3f26

CRC result: 9382, 9382

CRC result: 6e70, 6e70

CRC result: 24ec, 24ec

CRC result: 9de1, 9de1

CRC result: 7a4e, 7a4e

CRC result: 821f, 821f

CRC result: 30eb, 30eb

CRC result: 6082, 6082

CRC result: 29f3, 29f3

CRC result: 71d2, 71d2

CRC result: 6a7b, 6a7b

CRC result: 5c04, 5c04

CRC result: 445c, 445c

CRC result: 4e99, 4e99

CRC result: 5f83, 5f83

CRC result: a0b8, a0b8

CRC result: 6d38, 6d38

CRC result: cc3e, cc3e

CRC result: a6b1, a6b1

CRC result: cffc, cffc

CRC result: 939a, 939a

CRC result: f83c, f83c

CRC result: d0a0, d0a0

CRC result: d9db, d9db

CRC result: 70a3, 70a3

CRC result: a666, a666

CRC result: bb74, bb74

CRC result: 6ff7, 6ff7

CRC result: f325, f325

CRC result: 60a1, 60a1

CRC result: 602c, 602c

CRC result: 9912, 9912

CRC result: c2d6, c2d6

CRC result: 4a0f, 4a0f

CRC result: 7d21, 7d21

CRC result: 8e4a, 8e4a

CRC result: 8b37, 8b37

CRC result: 4f59, 4f59

CRC result: 2e5d, 2e5d

CRC result: 67c2, 67c2

CRC result: 2fd8, 2fd8

CRC result: 9276, 9276

CRC result: 6545, 6545

CRC result: a291, a291

CRC result: fb3d, fb3d

CRC result: cfc8, cfc8

CRC result: a18f, a18f

CRC result: 8003, 8003

CRC result: a0b9, a0b9

CRC result: 2589, 2589

CRC result: 6624, 6624

CRC result: 37a4, 37a4

CRC result: 7be9, 7be9

CRC result: c3cd, c3cd

CRC result: 732c, 732c

CRC result: ee60, ee60

CRC result: c5da, c5da

CRC result: 4d7d, 4d7d

CRC result: c8ea, c8ea

CRC result: 25c3, 25c3

CRC result: a032, a032

CRC result: 72da, 72da

CRC result: dde2, dde2

CRC result: 2a79, 2a79

CRC result: 3bad, 3bad

CRC result: 4b97, 4b97

CRC result: ec48, ec48

CRC result: bbe3, bbe3

CRC result: bd5d, bd5d

CRC result: 224a, 224a

CRC result: e332, e332

CRC result: a143, a143

CRC result: 6353, 6353

CRC result: 1e0b, 1e0b

CRC result: 3573, 3573

CRC result: 4203, 4203

CRC result: 821, 821

CRC result: 5bf5, 5bf5

CRC result: ecd9, ecd9

CRC result: b7db, b7db

CRC result: ec89, ec89

CRC result: e4b8, e4b8

CRC result: d24d, d24d

CRC result: 831c, 831c

CRC result: 84fa, 84fa

CRC result: 3e65, 3e65

CRC result: f2b9, f2b9

CRC result: 8d2, 8d2

CRC result: 5557, 5557

CRC result: 1565, 1565

CRC result: 30c6, 30c6

CRC result: db3, db3

CRC result: 8160, 8160

CRC result: af65, af65

CRC result: 2668, 2668
